dataset,model,architecture,seed,observed_fraction,data_source,num_trajectories,num_classes,seq_len,pred_len,macro_rmse,macro_mae,elapsed_seconds,device,result_file
HouseTwenty,PatchTST,tslibrary_patchtst_class_conditioned_prefix_windows,42,0.8,clean-ucr,40,2,96,400,418.3448732508929,313.8162439996472,7.008460521697998,cpu,out\tslibrary_neural_forecasting_profile\results\PatchTST_HouseTwenty_seed42.json
InsectEPGRegularTrain,PatchTST,tslibrary_patchtst_class_conditioned_prefix_windows,42,0.8,clean-ucr,62,3,96,121,0.027697349028337426,0.024178722184504595,7.31272292137146,cpu,out\tslibrary_neural_forecasting_profile\results\PatchTST_InsectEPGRegularTrain_seed42.json
