model,dataset,num_seeds,rmse_mean,rmse_std,mae_mean,mae_std,seeds
DLinear,ItalyPowerDemand,1,0.9946833760192739,0.0,0.8508944462980323,0.0,42
PatchTST,ItalyPowerDemand,1,0.8918313128379771,0.0,0.7846046684963833,0.0,42
