dataset,model,architecture,seed,observed_fraction,data_source,num_trajectories,num_classes,seq_len,pred_len,macro_rmse,macro_mae,elapsed_seconds,device,result_file
HouseTwenty,PatchTST,tslibrary_patchtst_class_conditioned_prefix_windows,42,0.8,clean-ucr,40,2,96,400,437.44794868619186,338.4063869226828,21.047480821609497,cpu,out\tslibrary_neural_forecasting_profile_256\results\PatchTST_HouseTwenty_seed42.json
InsectEPGRegularTrain,PatchTST,tslibrary_patchtst_class_conditioned_prefix_windows,42,0.8,clean-ucr,62,3,96,121,0.022424913822842743,0.01843414713478723,40.84735298156738,cpu,out\tslibrary_neural_forecasting_profile_256\results\PatchTST_InsectEPGRegularTrain_seed42.json
